,prefLabel,LABEL
0,Acne,DISEASE
1,acne vulgaris,DISEASE
2,Acne conglobata,DISEASE
3,Acne fulminans,DISEASE
4,Acne Keloidalis Nuchae,DISEASE
5,acne keloidalis,DISEASE
6,cheloidalis nuchae,DISEASE
7,Folliculitis keloidalis,DISEASE
8,Keloidal Folliculitis,DISEASE
9,nuchal keloidal acne,DISEASE
10,Acne necrotica,DISEASE
11,acne frontalis,DISEASE
12,Acne varioliformis,DISEASE
13,frontalis acne,DISEASE
14,acne scar,DISEASE
15,Acne scarring,DISEASE
16,Acneform reactions to halogenated aromatic hydrocarbons,DISEASE
17,acneiform dermatitis,DISEASE
18,acneiform eruption,DISEASE
19,Acneiform Rash,DISEASE
20,Comedonal acne,DISEASE
21,Folliculitis cruris pustulosa atrophicans,DISEASE
22,Infantile acne,DISEASE
23,Nodular acne,DISEASE
24,Papulopustular acne,DISEASE
25,Perioral dermatitis,DISEASE
26,Picker's Acne,DISEASE
27,Acne Excoriée,DISEASE
28,Severe inflammatory acne,DISEASE
29,Superficial mixed comedonal and papulopustular acne,DISEASE
0,aestivum,PLANTS
1,anethum graveolens l. apieaceae,PLANTS
2,angelica keiskei,PLANTS
3,argania spinosa,PLANTS
4,arnica montana,PLANTS
5,basil,PLANTS
6,brassica napus,PLANTS
7,calendula officinalis,PLANTS
8,camellia sinensis,PLANTS
9,carthamus tinctorius,PLANTS
10,cassava,PLANTS
11,centaurea cyanus,PLANTS
12,chamomilla recutita,PLANTS
13,citrus grandis,PLANTS
14,cornus officinalis,PLANTS
15,cytisus scoparius,PLANTS
16,dacrydium franklinii,PLANTS
17,daedalea dickinsii,PLANTS
18,daemonorops draco,PLANTS
19,daemonorops spp.,PLANTS
20,dahlia variabilis,PLANTS
21,dahlstedtia pinnata,PLANTS
22,dalbergia sissoo,PLANTS
23,dalea spinosa,PLANTS
24,damar,PLANTS
25,damnacanthus indicus fo. major,PLANTS
26,damnacanthus indicus subsp. major,PLANTS
27,damnacanthus indicus var. major,PLANTS
28,damnacanthus major,PLANTS
29,daniellia oliveri,PLANTS
30,daphne argyi,PLANTS
31,daphne cannabina var. kiusiana,PLANTS
32,daphne fortunei,PLANTS
33,daphne genkwa,PLANTS
34,daphne genkwa fo. taitoensis,PLANTS
35,daphne genkwa var. fortunei,PLANTS
36,daphne kiusiana,PLANTS
37,daphne kiusiana fo. fasciata,PLANTS
38,daphne kiusiana var. fasciata,PLANTS
39,daphne laureola,PLANTS
40,daphne odora var. fasciata,PLANTS
41,daphne odora var. kiusiana,PLANTS
42,daphnidostaphylis fendleri,PLANTS
43,daphniphyllum himalense subsp. macropodum,PLANTS
44,daphniphyllum macropodum,PLANTS
45,daphniphyllum membranaceum,PLANTS
46,darjeeling,PLANTS
47,darwinia citriodora endl. benth.,PLANTS
48,datura arborea,PLANTS
49,datura brugmansia,PLANTS
50,datura ferox,PLANTS
51,datura innoxia,PLANTS
52,datura metel,PLANTS
53,datura sanguinea,PLANTS
54,datura stramonium,PLANTS
55,daucus carota,PLANTS
56,daucus carota maximus,PLANTS
57,daucus carota sativa,PLANTS
58,daucus carota ssp.,PLANTS
59,daucus carota ssp. maximus,PLANTS
60,daucus carota ssp. maximus desf. ball,PLANTS
61,daucus carota subsp. sativus,PLANTS
62,daucus copticus,PLANTS
63,daucus visnaga,PLANTS
64,davidsonia jerseyana,PLANTS
65,davidsonia pruriens,PLANTS
66,davilla rugosa,PLANTS
67,decalepis hamiltonii,PLANTS
68,decalepis hamiltonii wight & arn.,PLANTS
69,deguelia elliptica,PLANTS
70,deguelia ferruginea,PLANTS
71,delesseria sanguinea,PLANTS
72,delphinium consolida,PLANTS
73,demidovia tetragonoides,PLANTS
74,dendranthema boreale,PLANTS
75,dendranthema erubescens,PLANTS
76,dendranthema grandiflorum,PLANTS
77,dendranthema indica,PLANTS
78,dendranthema indica var. huludaoensis,PLANTS
79,dendranthema morifolium,PLANTS
80,dendranthema nankingensis,PLANTS
81,dendranthema zawadskii,PLANTS
82,dendrobium catenatum,PLANTS
83,dendrobium funiushanense,PLANTS
84,dendrobium huoshanense,PLANTS
85,dendrobium moniliforme,PLANTS
86,dendrobium nobile,PLANTS
87,dendrobium phalaenopsis,PLANTS
88,dendropanax morbifera,PLANTS
89,derris cuneifolia var. malaccensis,PLANTS
90,derris elliptica,PLANTS
91,derris ferruginea,PLANTS
92,derris malaccensis,PLANTS
93,descantaria elongata,PLANTS
94,deschampsia antarctica,PLANTS
95,descurainia irio,PLANTS
96,descurainia sophia,PLANTS
97,desmodium adscendens,PLANTS
98,desmodium gangeticum,PLANTS
99,desmodium griffithianum,PLANTS
100,desmodium oldhamii,PLANTS
101,dialium guineense,PLANTS
102,dianthus carthusianorum,PLANTS
103,dianthus caryophyllus,PLANTS
104,dianthus chinensis,PLANTS
105,diasperus emblica,PLANTS
106,diasperus niruri,PLANTS
107,diasperus urinaria,PLANTS
108,dicalix propinquus,PLANTS
109,dicentra spectabilis,PLANTS
110,dichelactina nodicaulis,PLANTS
111,dicranopteris pedata,PLANTS
112,dictamnus albus,PLANTS
113,dictamnus albus subsp. dasycarpus,PLANTS
114,dictamnus albus var. dasycarpus,PLANTS
115,dictamnus dasycarpus,PLANTS
116,dictamnus desycarpus,PLANTS
117,dictamnus hispanicus,PLANTS
118,dictyophora indusiata,PLANTS
119,dictyopteris membranacea,PLANTS
120,dictyota coriacea,PLANTS
121,dicypellium caryophyllatum,PLANTS
122,dicytophora indusiata,PLANTS
123,diervilla lonicera,PLANTS
124,digenea simplex,PLANTS
125,digitalis grandiflora,PLANTS
126,digitalis lanata,PLANTS
127,digitalis lutea,PLANTS
128,digitalis purpurea,PLANTS
129,dill,PLANTS
130,dilsea carnosa,PLANTS
131,dimethyldodeca-,PLANTS
132,dimocarpus,PLANTS
133,dimocarpus lichi,PLANTS
134,dimocarpus longan,PLANTS
135,dimorpha falcata,PLANTS
136,dimorphandra mollis,PLANTS
137,dionaea muscipula,PLANTS
138,dioscorea,PLANTS
139,dioscorea batatas,PLANTS
140,dioscorea biserialis,PLANTS
141,dioscorea composita,PLANTS
142,dioscorea deltoidea,PLANTS
143,dioscorea glauca,PLANTS
144,dioscorea hirticaulis,PLANTS
145,dioscorea japonica,PLANTS
146,dioscorea japonica var. formosensis,PLANTS
147,dioscorea japonica var. vera,PLANTS
148,dioscorea macrostachya,PLANTS
149,dioscorea mexicana,PLANTS
150,dioscorea opposita,PLANTS
151,dioscorea paniculata,PLANTS
152,dioscorea paniculata var. glabrifolia,PLANTS
153,dioscorea panthaica,PLANTS
154,dioscorea polystachya,PLANTS
155,dioscorea quaternata,PLANTS
156,dioscorea quaternata var. glauca,PLANTS
157,dioscorea tepinapensis,PLANTS
